CoDIGO PROVINCIA,PROVINCIA,CoDIGO CANToN,CANToN,CoDIGO DISTRITO,DISTRITO
1,San Jose,101,San Jose,10101,Carmen
1,San Jose,101,San Jose,10102,Merced
1,San Jose,101,San Jose,10103,Hospital
1,San Jose,101,San Jose,10104,Catedral
1,San Jose,101,San Jose,10105,Zapote
1,San Jose,101,San Jose,10106,San Francisco de Dos Rios
1,San Jose,101,San Jose,10107,Uruca
1,San Jose,101,San Jose,10108,Mata Redonda
1,San Jose,101,San Jose,10109,Pavas
1,San Jose,101,San Jose,10110,Hatillo
1,San Jose,101,San Jose,10111,San Sebastian
1,San Jose,102,Escazu,10201,Escazu
1,San Jose,102,Escazu,10202,San Antonio
1,San Jose,102,Escazu,10203,San Rafael
1,San Jose,103,Desamparados,10301,Desamparados
1,San Jose,103,Desamparados,10302,San Miguel
1,San Jose,103,Desamparados,10303,San Juan de Dios
1,San Jose,103,Desamparados,10304,San Rafael Arriba
1,San Jose,103,Desamparados,10305,San Antonio
1,San Jose,103,Desamparados,10306,Frailes
1,San Jose,103,Desamparados,10307,Patarra
1,San Jose,103,Desamparados,10308,San Cristobal
1,San Jose,103,Desamparados,10309,Rosario
1,San Jose,103,Desamparados,10310,Damas
1,San Jose,103,Desamparados,10311,San Rafael Abajo
1,San Jose,103,Desamparados,10312,Gravilias
1,San Jose,103,Desamparados,10313,Los Guido
1,San Jose,104,Puriscal,10401,Santiago
1,San Jose,104,Puriscal,10402,Mercedes Sur
1,San Jose,104,Puriscal,10403,Barbacoas
1,San Jose,104,Puriscal,10404,Grifo Alto
1,San Jose,104,Puriscal,10405,San Rafael
1,San Jose,104,Puriscal,10406,Candelarita
1,San Jose,104,Puriscal,10407,Desamparaditos
1,San Jose,104,Puriscal,10408,San Antonio
1,San Jose,104,Puriscal,10409,Chires
1,San Jose,105,Tarrazu,10501,San Marcos
1,San Jose,105,Tarrazu,10502,San Lorenzo
1,San Jose,105,Tarrazu,10503,San Carlos
1,San Jose,106,Aserri,10601,Aserri
1,San Jose,106,Aserri,10602,Tarbaca
1,San Jose,106,Aserri,10603,Vuelta de Jorco
1,San Jose,106,Aserri,10604,San Gabriel
1,San Jose,106,Aserri,10605,Legua
1,San Jose,106,Aserri,10606,Monterrey
1,San Jose,106,Aserri,10607,Salitrillos
1,San Jose,107,Mora,10701,Colon
1,San Jose,107,Mora,10702,Guayabo
1,San Jose,107,Mora,10703,Tabarcia
1,San Jose,107,Mora,10704,Piedras Negras
1,San Jose,107,Mora,10705,Picagres
1,San Jose,107,Mora,10706,Jaris
1,San Jose,107,Mora,10707,Quitirrisi
1,San Jose,108,Goicoechea,10801,Guadalupe
1,San Jose,108,Goicoechea,10802,San Francisco
1,San Jose,108,Goicoechea,10803,Calle Blancos
1,San Jose,108,Goicoechea,10804,Mata de Platano
1,San Jose,108,Goicoechea,10805,Ipis
1,San Jose,108,Goicoechea,10806,Rancho Redondo
1,San Jose,108,Goicoechea,10807,Purral
1,San Jose,109,Santa Ana,10901,Santa Ana
1,San Jose,109,Santa Ana,10902,Salitral
1,San Jose,109,Santa Ana,10903,Pozos
1,San Jose,109,Santa Ana,10904,Uruca
1,San Jose,109,Santa Ana,10905,Piedades
1,San Jose,109,Santa Ana,10906,Brasil
1,San Jose,110,Alajuelita,11001,Alajuelita
1,San Jose,110,Alajuelita,11002,San Josecito
1,San Jose,110,Alajuelita,11003,San Antonio
1,San Jose,110,Alajuelita,11004,Concepcion
1,San Jose,110,Alajuelita,11005,San Felipe
1,San Jose,111,Vazquez de Coronado,11101,San Isidro
1,San Jose,111,Vazquez de Coronado,11102,San Rafael
1,San Jose,111,Vazquez de Coronado,11103,Dulce Nombre de Jesus
1,San Jose,111,Vazquez de Coronado,11104,Patalillo
1,San Jose,111,Vazquez de Coronado,11105,Cascajal
1,San Jose,112,Acosta,11201,San Ignacio
1,San Jose,112,Acosta,11202,Guaitil
1,San Jose,112,Acosta,11203,Palmichal
1,San Jose,112,Acosta,11204,Cangrejal
1,San Jose,112,Acosta,11205,Sabanillas
1,San Jose,113,Tibas,11301,San Juan
1,San Jose,113,Tibas,11302,Cinco Esquinas
1,San Jose,113,Tibas,11303,Anselmo Llorente
1,San Jose,113,Tibas,11304,Leon XIII
1,San Jose,113,Tibas,11305,Colima
1,San Jose,114,Moravia,11401,San Vicente
1,San Jose,114,Moravia,11402,San Jeronimo
1,San Jose,114,Moravia,11403,La Trinidad
1,San Jose,115,Montes de Oca,11501,San Pedro
1,San Jose,115,Montes de Oca,11502,Sabanilla
1,San Jose,115,Montes de Oca,11503,Mercedes
1,San Jose,115,Montes de Oca,11504,San Rafael
1,San Jose,116,Turrubares,11601,San Pablo
1,San Jose,116,Turrubares,11602,San Pedro
1,San Jose,116,Turrubares,11603,San Juan de Mata
1,San Jose,116,Turrubares,11604,San Luis
1,San Jose,116,Turrubares,11605,Carara
1,San Jose,117,Dota,11701,Santa Maria
1,San Jose,117,Dota,11702,Jardin
1,San Jose,117,Dota,11703,Copey
1,San Jose,118,Curridabat,11801,Curridabat
1,San Jose,118,Curridabat,11802,Granadilla
1,San Jose,118,Curridabat,11803,Sanchez
1,San Jose,118,Curridabat,11804,Tirrases
1,San Jose,119,Perez Zeledon,11901,San Isidro de El General
1,San Jose,119,Perez Zeledon,11902,El General
1,San Jose,119,Perez Zeledon,11903,Daniel Flores
1,San Jose,119,Perez Zeledon,11904,Rivas
1,San Jose,119,Perez Zeledon,11905,San Pedro
1,San Jose,119,Perez Zeledon,11906,Platanares
1,San Jose,119,Perez Zeledon,11907,Pejibaye
1,San Jose,119,Perez Zeledon,11908,Cajon
1,San Jose,119,Perez Zeledon,11909,Baru
1,San Jose,119,Perez Zeledon,11910,Rio Nuevo
1,San Jose,119,Perez Zeledon,11911,Paramo
1,San Jose,119,Perez Zeledon,11912,La  Amistad
1,San Jose,120,Leon Cortes Castro,12001,San Pablo
1,San Jose,120,Leon Cortes Castro,12002,San Andres
1,San Jose,120,Leon Cortes Castro,12003,Llano Bonito
1,San Jose,120,Leon Cortes Castro,12004,San Isidro
1,San Jose,120,Leon Cortes Castro,12005,Santa Cruz
1,San Jose,120,Leon Cortes Castro,12006,San Antonio
2,Alajuela,201,Alajuela,20101,Alajuela
2,Alajuela,201,Alajuela,20102,San Jose
2,Alajuela,201,Alajuela,20103,Carrizal
2,Alajuela,201,Alajuela,20104,San Antonio
2,Alajuela,201,Alajuela,20105,Guacima
2,Alajuela,201,Alajuela,20106,San Isidro
2,Alajuela,201,Alajuela,20107,Sabanilla
2,Alajuela,201,Alajuela,20108,San Rafael
2,Alajuela,201,Alajuela,20109,Rio Segundo
2,Alajuela,201,Alajuela,20110,Desamparados
2,Alajuela,201,Alajuela,20111,Turrucares
2,Alajuela,201,Alajuela,20112,Tambor
2,Alajuela,201,Alajuela,20113,Garita
2,Alajuela,201,Alajuela,20114,Sarapiqui
2,Alajuela,202,San Ramon,20201,San Ramon
2,Alajuela,202,San Ramon,20202,Santiago
2,Alajuela,202,San Ramon,20203,San Juan
2,Alajuela,202,San Ramon,20204,Piedades Norte
2,Alajuela,202,San Ramon,20205,Piedades Sur
2,Alajuela,202,San Ramon,20206,San Rafael
2,Alajuela,202,San Ramon,20207,San Isidro
2,Alajuela,202,San Ramon,20208,angeles
2,Alajuela,202,San Ramon,20209,Alfaro
2,Alajuela,202,San Ramon,20210,Volio
2,Alajuela,202,San Ramon,20211,Concepcion
2,Alajuela,202,San Ramon,20212,Zapotal
2,Alajuela,202,San Ramon,20213,Peñas Blancas
2,Alajuela,202,San Ramon,20214,San Lorenzo
2,Alajuela,203,Grecia,20301,Grecia
2,Alajuela,203,Grecia,20302,San Isidro
2,Alajuela,203,Grecia,20303,San Jose
2,Alajuela,203,Grecia,20304,San Roque
2,Alajuela,203,Grecia,20305,Tacares
2,Alajuela,203,Grecia,20307,Puente de Piedra
2,Alajuela,203,Grecia,20308,Bolivar
2,Alajuela,204,San Mateo,20401,San Mateo
2,Alajuela,204,San Mateo,20402,Desmonte
2,Alajuela,204,San Mateo,20403,Jesus Maria
2,Alajuela,204,San Mateo,20404,Labrador
2,Alajuela,205,Atenas,20501,Atenas
2,Alajuela,205,Atenas,20502,Jesus
2,Alajuela,205,Atenas,20503,Mercedes
2,Alajuela,205,Atenas,20504,San Isidro
2,Alajuela,205,Atenas,20505,Concepcion
2,Alajuela,205,Atenas,20506,San Jose
2,Alajuela,205,Atenas,20507,Santa Eulalia
2,Alajuela,205,Atenas,20508,Escobal
2,Alajuela,206,Naranjo,20601,Naranjo
2,Alajuela,206,Naranjo,20602,San Miguel
2,Alajuela,206,Naranjo,20603,San Jose
2,Alajuela,206,Naranjo,20604,Cirri Sur
2,Alajuela,206,Naranjo,20605,San Jeronimo
2,Alajuela,206,Naranjo,20606,San Juan
2,Alajuela,206,Naranjo,20607,El Rosario
2,Alajuela,206,Naranjo,20608,Palmitos
2,Alajuela,207,Palmares,20701,Palmares
2,Alajuela,207,Palmares,20702,Zaragoza
2,Alajuela,207,Palmares,20703,Buenos Aires
2,Alajuela,207,Palmares,20704,Santiago
2,Alajuela,207,Palmares,20705,Candelaria
2,Alajuela,207,Palmares,20706,Esquipulas
2,Alajuela,207,Palmares,20707,La Granja
2,Alajuela,208,Poas,20801,San Pedro
2,Alajuela,208,Poas,20802,San Juan
2,Alajuela,208,Poas,20803,San Rafael
2,Alajuela,208,Poas,20804,Carrillos
2,Alajuela,208,Poas,20805,Sabana Redonda
2,Alajuela,209,Orotina,20901,Orotina
2,Alajuela,209,Orotina,20902,El Mastate
2,Alajuela,209,Orotina,20903,Hacienda Vieja
2,Alajuela,209,Orotina,20904,Coyolar
2,Alajuela,209,Orotina,20905,La Ceiba
2,Alajuela,210,San Carlos,21001,Quesada
2,Alajuela,210,San Carlos,21002,Florencia
2,Alajuela,210,San Carlos,21003,Buenavista
2,Alajuela,210,San Carlos,21004,Aguas Zarcas
2,Alajuela,210,San Carlos,21005,Venecia
2,Alajuela,210,San Carlos,21006,Pital
2,Alajuela,210,San Carlos,21007,La Fortuna
2,Alajuela,210,San Carlos,21008,La Tigra
2,Alajuela,210,San Carlos,21009,La Palmera
2,Alajuela,210,San Carlos,21010,Venado
2,Alajuela,210,San Carlos,21011,Cutris
2,Alajuela,210,San Carlos,21012,Monterrey
2,Alajuela,210,San Carlos,21013,Pocosol
2,Alajuela,211,Zarcero,21101,Zarcero
2,Alajuela,211,Zarcero,21102,Laguna
2,Alajuela,211,Zarcero,21103,Tapesco
2,Alajuela,211,Zarcero,21104,Guadalupe
2,Alajuela,211,Zarcero,21105,Palmira
2,Alajuela,211,Zarcero,21106,Zapote
2,Alajuela,211,Zarcero,21107,Brisas
2,Alajuela,212,Sarchi,21201,Sarchi Norte
2,Alajuela,212,Sarchi,21202,Sarchi Sur
2,Alajuela,212,Sarchi,21203,Toro Amarillo
2,Alajuela,212,Sarchi,21204,San Pedro
2,Alajuela,212,Sarchi,21205,Rodriguez
